contractor_id,district_id,company_size,years_active,number_of_workers,complaint_count,resolved_cases,average_delay_days,average_wage_gap,risk_index,NGO_reports,inspection_history,blacklisted
C00070,D092,28,4.5,28,4,3,0.1,15.96,19.23,3,1,False
C00071,D044,5,0.5,5,3,2,33.5,0.0,27.57,0,0,False
C00072,D071,41,6.6,41,1,0,18.4,0.0,11.42,0,1,False
C00073,D095,10,26.3,10,8,7,33.0,61.97,44.14,0,0,False
C00074,D088,29,8.6,29,9,6,5.4,88.9,48.51,5,1,False
C00075,D069,25,4.1,25,6,5,11.6,34.12,33.55,2,2,False
C00076,D094,4,3.3,4,7,4,10.3,34.77,21.2,1,2,False
C00077,D024,20,9.0,20,6,4,1.2,31.9,24.35,2,0,False
C00078,D003,16,13.7,16,5,2,3.8,20.44,19.05,0,2,False
C00079,D055,12,22.6,12,4,2,6.6,23.81,16.32,0,1,False
C00080,D049,11,2.5,11,8,5,1.9,36.86,18.14,0,1,False
C00081,D010,11,23.5,11,2,1,0.5,17.2,16.64,0,2,False
C00082,D052,27,0.8,27,7,4,6.9,47.45,28.92,1,1,False
C00083,D002,21,1.5,21,3,2,4.0,41.76,25.36,1,1,False
C00084,D013,12,0.5,12,1,0,3.7,6.75,20.5,0,2,False
C00085,D058,2,1.6,2,7,6,9.9,55.66,18.74,1,2,False
C00086,D004,19,7.3,19,2,1,0.7,37.49,4.33,0,1,False
C00087,D073,25,9.6,25,2,1,2.6,0.0,9.94,0,2,False
C00088,D010,121,7.5,121,0,0,5.8,12.61,9.18,2,1,False
C00089,D075,35,5.0,35,3,1,6.4,21.68,20.69,0,2,False
C00090,D083,1,3.6,1,3,2,1.6,12.69,3.99,0,1,False
C00091,D067,13,6.2,13,5,3,5.3,65.04,17.21,0,4,False
C00092,D099,74,2.5,74,2,1,3.4,42.22,23.1,0,2,False
C00093,D084,22,9.2,22,2,1,0.8,10.82,23.35,2,3,False
C00094,D038,16,5.7,16,3,2,2.3,0.0,15.53,1,0,False
C00095,D034,29,6.0,29,6,4,8.8,70.35,31.3,0,2,False
C00096,D048,6,3.8,6,4,2,0.3,53.78,31.1,1,4,False
C00097,D079,19,10.8,19,1,0,6.7,23.42,13.6,2,1,False
C00098,D020,9,1.5,9,5,2,15.5,44.32,23.54,0,1,False
C00099,D045,11,2.4,11,2,1,0.0,12.29,3.1,0,2,False
C00100,D026,27,7.5,27,10,8,8.3,48.15,34.28,2,1,False
C00101,D060,4,3.4,4,0,0,4.0,17.55,4.59,0,2,False
C00102,D010,44,11.0,44,4,3,3.5,23.36,18.2,0,0,False
C00103,D016,7,2.1,7,5,4,14.0,33.77,22.43,2,1,False
C00104,D057,15,2.3,15,8,6,1.5,24.56,22.23,1,3,False
C00105,D027,3,11.0,3,2,1,0.4,0.0,13.68,1,3,False
C00106,D097,25,3.1,25,6,4,8.0,36.76,14.03,0,2,False
C00107,D073,51,3.6,51,5,2,4.4,45.69,23.01,0,2,False
C00108,D065,7,2.0,7,6,5,2.3,19.56,18.76,0,3,False
C00109,D061,4,1.6,4,1,0,1.4,5.58,5.91,0,0,False
C00110,D029,16,5.3,16,6,4,11.6,16.05,29.26,1,4,False
C00111,D032,52,0.6,52,10,7,7.7,56.74,38.49,0,5,False
C00112,D042,2,10.6,2,3,1,1.8,0.0,14.3,0,1,False
C00113,D042,4,7.6,4,7,2,17.4,29.06,25.09,1,1,False
C00114,D046,7,1.1,7,4,2,4.0,3.44,13.76,2,0,False
C00115,D028,5,5.9,5,4,2,5.7,25.62,19.65,0,1,False
C00116,D068,5,4.6,5,6,4,10.9,66.99,40.15,3,2,False
C00117,D035,1,1.0,1,3,2,1.9,40.95,14.21,0,2,False
C00118,D020,21,1.6,21,1,0,19.2,39.58,20.71,0,0,False
C00119,D089,17,2.6,17,1,0,2.8,0.0,3.16,0,0,False
C00120,D018,2,6.0,2,0,0,4.9,63.78,13.25,1,1,False
C00121,D091,52,5.1,52,0,0,1.3,20.75,8.86,0,1,False
C00122,D002,65,3.8,65,5,4,4.7,91.92,47.24,5,2,False
C00123,D015,5,7.3,5,2,1,25.0,64.54,24.69,0,2,False
C00124,D052,39,7.1,39,2,0,1.8,17.86,12.48,0,1,False
C00125,D005,6,4.8,6,4,3,3.6,29.72,28.55,1,3,False
C00126,D052,14,7.7,14,0,0,4.8,21.51,5.54,0,1,False
C00127,D040,5,2.0,5,6,4,2.6,61.37,28.03,1,1,False
C00128,D014,111,10.7,111,5,2,1.3,31.08,13.16,0,0,False
C00129,D095,9,4.8,9,8,6,3.8,59.91,24.6,2,1,False
C00130,D079,13,8.6,13,1,0,6.1,31.75,6.89,0,0,False
C00131,D097,6,4.0,6,0,0,0.1,21.97,1.23,0,1,False
C00132,D095,78,1.2,78,5,2,8.6,59.68,30.04,1,0,False
C00133,D087,80,3.9,80,2,1,4.0,0.0,13.43,0,1,False
C00134,D047,62,2.3,62,8,7,14.2,66.12,36.25,1,1,False
C00135,D048,31,6.0,31,5,4,2.5,36.59,25.79,1,0,False
C00136,D010,6,3.2,6,12,9,2.9,0.0,27.6,1,2,False
C00137,D054,27,9.0,27,7,5,2.2,41.72,26.01,0,2,False
C00138,D027,12,5.7,12,5,3,5.3,39.19,26.68,0,2,False
C00139,D011,45,5.8,45,6,4,3.0,9.06,17.43,1,2,False
C00140,D010,37,1.2,37,1,0,2.8,0.95,9.47,0,0,False
C00141,D039,6,20.8,6,3,2,2.6,0.0,7.07,0,1,False
C00142,D085,31,9.2,31,0,0,4.5,10.09,8.94,1,0,False
C00143,D023,24,7.8,24,5,2,4.8,2.07,26.75,2,2,False
C00144,D080,1,2.0,1,8,7,12.3,46.03,42.35,3,1,False
C00145,D030,27,3.8,27,2,1,0.8,40.19,10.97,1,0,False
C00146,D064,7,0.7,7,7,4,9.3,50.15,26.07,0,3,False
C00147,D076,5,3.9,5,2,1,16.7,0.0,13.37,0,0,False
C00148,D014,5,0.8,5,2,0,9.6,29.75,17.92,0,0,False
C00149,D069,10,4.0,10,2,1,1.7,8.76,12.26,0,2,False
C00150,D080,19,5.2,19,1,0,2.6,31.5,13.1,0,2,False
C00151,D061,3,2.5,3,6,5,1.2,69.02,30.07,2,3,False
C00152,D025,14,3.5,14,2,1,0.8,40.54,3.85,0,0,False
C00153,D053,21,10.4,21,4,1,4.1,22.55,20.78,2,4,False
C00154,D071,78,0.6,78,1,0,1.3,11.97,7.35,0,1,False
C00155,D016,4,7.8,4,4,1,3.2,23.58,20.15,0,3,False
C00156,D022,8,0.9,8,5,4,0.1,48.43,27.81,1,2,False
C00157,D062,15,0.2,15,8,4,0.9,43.03,28.4,1,3,False
C00158,D008,38,1.0,38,3,2,0.7,0.0,9.18,0,4,False
C00159,D010,8,7.2,8,1,0,0.8,35.8,5.37,0,1,False
C00160,D029,40,2.6,40,0,0,0.4,0.0,1.15,0,1,False
C00161,D048,1,10.3,1,2,1,0.2,6.38,5.22,0,0,False
C00162,D068,3,3.7,3,7,3,19.3,72.46,41.59,2,1,False
C00163,D057,17,0.1,17,9,7,5.4,29.76,29.77,0,0,False
C00164,D080,2,6.3,2,9,6,0.9,19.89,24.57,0,3,False
C00165,D015,3,0.6,3,1,0,1.0,25.69,2.55,0,0,False
C00166,D027,7,7.8,7,3,1,0.0,44.72,17.15,1,1,False
C00167,D066,26,0.9,26,1,0,4.1,49.48,7.37,0,5,False
C00168,D007,1,2.1,1,4,2,7.5,32.39,11.38,0,1,False
C00169,D100,14,7.2,14,5,3,7.4,16.11,23.58,1,2,False
C00170,D091,34,15.4,34,6,5,21.9,29.72,39.23,3,2,False
C00171,D031,10,2.3,10,7,4,5.1,24.54,37.37,1,2,False
C00172,D018,8,8.8,8,14,8,38.4,54.14,53.81,3,0,False
C00173,D007,18,1.1,18,3,1,0.7,36.4,14.94,0,2,False
C00174,D026,10,8.2,10,3,2,2.1,30.81,12.41,0,4,False
C00175,D034,48,5.4,48,6,3,3.2,21.26,22.86,0,2,False
C00176,D004,4,1.1,4,4,3,10.0,31.6,17.18,1,1,False
C00177,D055,11,1.8,11,4,3,0.3,48.55,20.32,0,1,False
C00178,D085,14,0.7,14,4,3,1.6,39.7,8.51,2,1,False
C00179,D085,8,2.4,8,3,1,3.6,44.62,14.5,0,0,False
C00180,D057,1,1.1,1,5,2,5.7,19.95,19.34,1,0,False
C00181,D012,10,5.2,10,3,0,2.3,43.64,21.38,1,1,False
C00182,D070,29,26.0,29,3,2,25.0,37.31,26.95,0,0,False
C00183,D026,26,0.1,26,4,1,19.6,34.46,26.12,1,1,False
C00184,D019,17,3.9,17,1,0,1.4,21.18,7.44,0,3,False
C00185,D043,4,4.3,4,2,0,5.9,16.75,9.63,1,0,False
C00186,D097,18,12.3,18,4,3,2.1,0.0,14.16,0,2,False
C00187,D098,6,3.5,6,3,2,0.6,0.0,20.29,0,1,False
C00188,D052,17,3.9,17,0,0,0.3,8.34,6.08,0,2,False
C00189,D036,13,3.2,13,1,0,3.7,69.56,8.27,0,2,False
C00190,D070,4,1.6,4,4,3,1.5,19.93,16.6,0,7,False
C00191,D025,4,0.3,4,3,2,5.9,0.0,10.03,0,2,False
C00192,D050,17,2.6,17,8,7,30.3,62.89,43.95,1,1,False
C00193,D049,9,0.3,9,0,0,0.4,13.92,5.66,0,2,False
C00194,D047,5,4.0,5,7,6,0.1,65.8,49.98,1,2,False
C00195,D006,4,1.8,4,3,2,1.5,34.37,9.36,0,1,False
C00196,D067,8,3.8,8,5,1,0.1,54.23,27.74,0,4,False
C00197,D003,58,0.7,58,6,3,4.1,91.86,47.53,0,0,False
C00198,D087,7,13.5,7,3,1,2.0,0.0,9.57,2,4,False
C00199,D034,12,11.2,12,6,3,3.7,42.64,20.14,0,1,False
C00200,D027,13,1.1,13,4,2,3.5,21.54,11.71,0,2,False
C00201,D077,3,2.1,3,3,2,0.2,28.26,23.39,2,3,False
C00202,D016,2,4.8,2,5,1,5.4,45.39,28.31,0,2,False
C00203,D063,4,0.5,4,8,5,3.6,42.16,21.99,2,1,False
C00204,D087,15,2.2,15,0,0,0.3,10.54,3.29,0,2,False
C00205,D064,13,1.4,13,3,2,3.1,48.24,8.87,0,1,False
C00206,D052,24,12.4,24,4,2,0.5,0.0,4.49,0,5,False
C00207,D054,13,9.6,13,7,6,3.2,32.11,15.46,0,2,False
C00208,D048,10,4.3,10,9,6,2.6,54.35,40.88,0,1,False
C00209,D051,6,3.7,6,7,3,2.5,99.38,42.35,2,2,False
C00210,D071,29,13.3,29,2,1,4.1,22.49,16.06,2,0,False
C00211,D057,4,13.5,4,3,2,0.2,35.42,8.15,0,2,False
C00212,D004,4,17.4,4,17,11,37.2,50.11,47.67,1,0,False
C00213,D059,21,0.7,21,10,7,48.2,77.09,44.09,0,0,False
C00214,D089,3,0.9,3,6,5,0.5,11.73,11.85,0,3,False
C00215,D063,136,5.6,136,1,0,0.5,31.07,8.48,1,0,False
C00216,D021,13,3.9,13,2,1,3.3,21.69,15.03,0,1,False
C00217,D064,17,0.1,17,0,0,0.5,14.14,5.42,0,2,False
C00218,D064,5,0.3,5,2,1,1.2,42.36,13.39,0,2,False
C00219,D027,8,10.9,8,0,0,1.2,0.0,3.41,0,1,False
C00220,D034,7,10.2,7,3,2,5.1,12.45,11.37,0,2,False
C00221,D008,7,2.2,7,0,0,2.8,15.25,13.78,0,0,False
C00222,D024,22,11.1,22,5,3,3.4,70.29,37.57,0,0,False
C00223,D041,7,4.5,7,3,2,12.7,66.04,18.34,1,1,False
C00224,D096,33,8.2,33,2,1,5.0,19.93,13.77,0,2,False
C00225,D044,174,2.8,174,2,1,4.1,43.0,12.49,0,0,False
C00226,D074,9,0.6,9,10,9,14.0,78.08,46.75,3,1,False
C00227,D025,14,2.8,14,2,1,5.3,0.0,8.11,0,4,False
C00228,D006,17,3.1,17,1,0,0.1,8.69,2.07,1,3,False
C00229,D041,74,4.0,74,6,4,9.2,62.62,33.24,0,2,False
C00230,D028,11,0.6,11,0,0,3.2,12.82,15.05,2,1,False
C00231,D037,5,23.8,5,1,0,2.3,40.71,11.19,0,1,False
C00232,D071,3,1.4,3,0,0,0.4,22.09,10.37,0,1,False
C00233,D097,11,1.1,11,4,3,1.1,6.04,19.59,0,1,False
C00234,D022,7,3.7,7,9,2,7.3,40.07,31.2,0,0,False
C00235,D072,90,3.9,90,7,5,2.5,42.0,27.1,1,1,False
C00236,D070,71,2.9,71,6,5,21.7,66.31,24.73,2,2,False
C00237,D001,4,7.4,4,3,2,2.2,47.3,34.16,0,2,False
C00238,D033,5,3.6,5,2,1,1.9,54.25,8.04,0,2,False
C00239,D073,13,4.7,13,0,0,0.3,43.8,1.66,0,1,False
C00240,D034,49,6.4,49,6,5,7.9,56.68,32.06,1,0,False
C00241,D028,12,0.1,12,5,2,2.6,53.86,13.15,0,1,False
C00242,D085,6,4.2,6,5,2,3.2,42.9,35.65,1,3,False
C00243,D039,11,10.8,11,0,0,4.2,10.5,4.75,0,3,False
C00244,D100,6,0.1,6,2,1,0.8,3.77,19.39,1,1,False
C00245,D043,22,2.6,22,2,1,0.3,28.11,10.49,0,2,False
C00246,D083,5,13.0,5,2,1,16.3,21.17,18.21,0,4,False
C00247,D008,7,2.2,7,5,3,4.5,68.63,26.78,3,3,False
C00248,D024,38,3.1,38,7,4,4.7,53.05,26.95,1,2,False
C00249,D026,5,20.0,5,5,4,1.2,14.29,14.95,0,1,False
C00250,D016,2,1.1,2,2,1,1.6,0.0,7.13,1,0,False
C00251,D039,13,0.3,13,3,2,1.2,63.21,15.48,2,1,False
C00252,D093,8,9.8,8,8,6,34.3,32.82,38.23,0,2,False
C00253,D015,20,10.1,20,4,2,0.6,3.39,17.96,2,0,False
C00254,D045,16,3.2,16,0,0,0.4,0.0,3.35,0,0,False
C00255,D086,11,3.6,11,1,0,2.7,17.42,12.48,2,2,False
C00256,D074,11,9.0,11,10,7,13.4,6.16,22.11,1,0,False
C00257,D076,5,6.7,5,10,8,0.4,86.04,40.45,0,1,False
C00258,D027,13,1.5,13,8,7,11.1,74.57,45.2,2,2,False
C00259,D017,29,0.1,29,6,2,1.1,99.84,26.68,0,2,False
C00260,D081,4,3.3,4,2,1,0.3,49.22,11.76,0,3,False
C00261,D029,12,9.8,12,2,1,9.4,0.0,11.03,0,1,False
C00262,D037,34,11.3,34,5,4,0.1,37.1,15.76,1,1,False
C00263,D033,20,15.6,20,1,0,1.7,18.39,18.89,0,1,False
C00264,D071,45,10.6,45,1,0,9.9,2.21,11.86,0,2,False
C00265,D023,6,4.3,6,0,0,0.5,0.0,3.74,0,1,False
C00266,D009,1,2.9,1,5,2,3.3,24.39,24.28,0,1,False
C00267,D006,14,7.5,14,3,2,1.2,0.38,10.83,0,1,False
C00268,D091,17,6.7,17,6,3,2.3,25.92,26.97,0,2,False
C00269,D004,47,3.9,47,8,7,1.5,68.89,24.4,0,1,False
C00270,D046,39,0.5,39,8,6,3.1,67.64,37.21,2,1,False
C00271,D095,20,13.0,20,10,8,0.4,59.17,45.11,1,1,False
C00272,D096,26,3.0,26,3,1,0.7,9.95,5.62,1,0,False
C00273,D063,10,2.3,10,1,0,0.1,33.26,7.23,0,1,False
C00274,D095,3,5.0,3,10,8,12.2,65.07,42.4,1,0,False
C00275,D035,13,5.6,13,7,6,14.8,19.24,31.14,0,2,False
C00276,D011,32,1.2,32,1,0,0.4,27.88,7.08,0,4,False
C00277,D093,23,9.1,23,9,5,21.1,65.03,43.22,2,1,False
C00278,D038,28,1.7,28,0,0,0.1,0.59,4.95,0,0,False
C00279,D001,7,1.0,7,1,0,1.1,0.0,6.91,1,3,False
C00280,D001,9,2.6,9,3,1,9.0,86.71,16.09,2,0,False
C00281,D074,19,6.6,19,7,5,10.8,23.35,29.44,3,1,False
C00282,D070,7,16.8,7,4,3,1.8,9.87,11.76,0,0,False
C00283,D064,7,8.3,7,8,6,8.8,42.65,23.56,0,2,False
C00284,D088,16,14.1,16,1,0,0.1,0.0,2.76,0,1,False
C00285,D001,26,0.8,26,13,9,3.5,104.65,55.26,2,2,False
C00286,D008,9,0.4,9,0,0,4.6,16.74,10.68,1,3,False
C00287,D093,3,4.1,3,2,1,4.4,45.06,22.09,1,2,False
C00288,D053,5,1.7,5,7,5,2.6,33.07,22.25,0,0,False
C00289,D024,14,8.8,14,1,0,0.5,68.69,19.36,0,1,False
C00290,D061,14,5.6,14,1,0,0.9,0.0,6.02,0,4,False
C00291,D058,15,17.7,15,0,0,0.3,0.0,2.7,0,1,False
C00292,D090,20,1.5,20,2,1,0.5,17.17,10.99,1,1,False
C00293,D066,12,3.3,12,4,3,5.3,48.29,24.21,2,0,False
C00294,D015,15,3.5,15,4,2,0.7,17.75,13.72,0,1,False
C00295,D100,11,1.4,11,5,2,19.7,52.91,29.8,4,4,False
C00296,D084,38,4.5,38,2,1,43.4,38.19,27.41,1,3,False
C00297,D074,51,2.9,51,1,0,0.2,8.71,4.24,0,0,False
C00298,D004,3,3.0,3,4,2,0.7,19.54,15.51,0,2,False
C00299,D066,9,2.3,9,8,3,4.2,20.17,21.02,1,2,False
C00300,D028,12,0.1,12,3,2,9.5,0.0,8.19,0,3,False
C00301,D089,9,3.7,9,5,3,6.0,39.17,33.72,0,0,False
C00302,D082,73,2.0,73,1,0,2.4,14.56,15.52,0,0,False
C00303,D050,15,0.0,15,2,1,4.7,35.44,5.03,0,1,False
C00304,D032,5,1.8,5,8,7,7.3,39.37,40.23,3,2,False
C00305,D038,22,1.6,22,4,3,9.8,19.96,20.31,0,2,False
C00306,D035,15,2.5,15,3,2,3.4,35.6,19.55,0,3,False
C00307,D079,16,0.7,16,2,1,6.0,41.8,16.62,0,4,False
C00308,D062,74,3.5,74,2,1,5.0,21.55,6.67,0,2,False
C00309,D080,17,5.9,17,3,2,2.9,0.0,9.18,0,0,False
C00310,D003,8,5.0,8,1,0,2.1,23.24,1.99,0,1,False
C00311,D068,1,8.1,1,3,2,8.7,46.82,22.04,0,0,False
C00312,D091,10,3.0,10,2,1,0.3,3.69,12.99,0,1,False
C00313,D087,44,3.7,44,3,1,0.1,0.29,7.47,0,3,False
C00314,D082,11,8.3,11,0,0,0.2,0.0,3.89,0,2,False
C00315,D090,1,2.8,1,2,1,0.4,17.24,8.1,0,0,False
C00316,D048,7,6.0,7,5,4,0.1,53.0,11.26,0,0,False
C00317,D085,32,2.9,32,4,1,1.6,49.9,11.5,0,1,False
C00318,D064,21,2.7,21,2,1,50.0,83.63,33.91,1,0,False
C00319,D074,5,7.1,5,2,1,2.7,14.51,10.17,0,0,False
C00320,D042,6,1.0,6,1,0,4.5,23.9,11.1,0,0,False
C00321,D056,8,2.1,8,14,6,5.8,50.02,32.18,1,2,False
C00322,D091,6,1.3,6,1,0,0.5,9.14,8.26,0,0,False
C00323,D065,1,2.2,1,10,6,6.5,61.31,50.25,5,1,False
C00324,D028,26,1.3,26,1,0,0.9,55.72,11.59,1,0,False
C00325,D083,42,4.3,42,2,1,5.0,29.26,20.63,1,1,False
C00326,D014,2,8.0,2,11,2,7.0,26.49,37.02,0,0,False
C00327,D030,42,7.7,42,4,3,11.6,26.51,20.17,2,4,False
C00328,D063,10,2.3,10,0,0,0.2,6.67,2.85,0,4,False
C00329,D052,41,22.4,41,2,1,3.8,28.3,14.75,1,0,False
C00330,D005,12,4.5,12,8,6,0.1,37.01,22.36,1,1,False
C00331,D016,13,2.5,13,0,0,1.6,0.0,3.25,1,1,False
C00332,D089,17,9.0,17,1,0,0.9,43.28,3.58,0,0,False
C00333,D068,5,6.5,5,6,5,0.8,56.65,40.12,1,2,False
C00334,D019,40,6.9,40,4,3,9.0,41.84,17.82,0,1,False
C00335,D016,3,1.1,3,1,0,0.1,15.84,5.69,0,2,False
C00336,D064,8,3.2,8,1,0,1.8,0.0,10.93,1,1,False
C00337,D079,20,9.9,20,5,4,10.9,23.3,18.04,2,1,False
C00338,D068,7,3.5,7,5,2,0.4,50.19,21.82,0,1,False
C00339,D058,26,5.8,26,2,1,0.7,4.04,7.78,1,0,False
C00340,D028,48,4.4,48,5,1,2.6,35.27,23.46,0,0,False
C00341,D070,33,9.2,33,6,4,5.5,38.19,22.94,2,0,False
C00342,D076,1,1.7,1,4,3,3.4,18.32,16.83,0,0,False
C00343,D033,13,4.3,13,2,1,8.3,32.49,14.91,0,3,False
C00344,D050,34,0.7,34,2,1,9.5,16.85,13.99,1,2,False
C00345,D009,3,5.9,3,3,1,2.4,21.9,18.87,0,2,False
C00346,D055,25,6.6,25,6,4,8.7,42.87,12.57,0,2,False
C00347,D072,23,0.2,23,3,2,2.7,39.15,18.37,0,1,False
C00348,D016,3,5.6,3,4,1,5.7,0.0,12.52,0,1,False
C00349,D006,28,2.7,28,4,2,3.3,6.57,12.4,1,2,False
C00350,D015,16,0.7,16,5,4,13.2,44.84,26.13,0,3,False
C00351,D041,23,2.7,23,5,4,7.8,60.24,27.75,2,1,False
C00352,D068,4,1.1,4,4,3,9.0,11.07,18.76,1,2,False
C00353,D022,14,2.7,14,13,9,14.1,98.39,53.96,2,1,False
C00354,D066,2,2.4,2,3,2,0.6,39.26,15.76,0,1,False
C00355,D094,1,6.7,1,1,0,6.1,28.39,13.06,1,2,False
C00356,D059,14,7.4,14,0,0,1.1,0.0,3.11,0,1,False
C00357,D036,36,4.7,36,4,3,5.7,4.88,12.74,0,1,False
C00358,D041,15,0.1,15,3,2,0.6,36.07,21.06,0,2,False
C00359,D028,11,13.4,11,17,11,15.5,80.67,44.1,1,0,False
C00360,D066,10,5.8,10,4,2,8.7,37.91,19.34,0,1,False
C00361,D100,4,0.2,4,2,1,1.6,9.45,11.66,0,1,False
C00362,D032,9,8.5,9,6,3,16.5,34.04,18.08,1,3,False
C00363,D053,18,1.1,18,9,6,16.2,131.62,47.65,2,3,False
C00364,D050,7,4.3,7,3,2,0.5,13.42,29.96,1,1,False
C00365,D041,25,3.1,25,9,7,10.3,42.12,31.07,3,3,False
C00366,D044,14,2.7,14,3,2,0.1,6.04,16.29,2,2,False
C00367,D004,16,11.0,16,7,5,2.0,51.95,36.86,2,1,False
C00368,D023,29,2.9,29,1,0,0.8,21.2,5.43,0,2,False
C00369,D008,7,0.4,7,6,4,4.8,32.98,39.77,1,5,False
C00370,D084,23,14.7,23,2,1,4.2,27.45,10.85,0,1,False
C00371,D073,8,12.7,8,4,2,2.1,29.88,19.5,0,1,False
C00372,D093,17,5.8,17,2,1,5.6,0.0,12.41,0,1,False
C00373,D035,6,3.2,6,5,3,2.6,40.04,26.96,0,0,False
C00374,D099,4,0.5,4,5,4,5.9,15.51,24.48,1,2,False
